;link;id;Landscape;Portrait;Documentary;Other (photo) with description;Text;Other (picture) with description;Directly related;Indirectly related;Positiv;Negative;Likeseeker;refugees help;meeting refugees;sea crossing;public demonstration;refugees documentary;konferenz;opinion;ref. Lager;humnanism;others;;;;
85457;https://www.instagram.com/p/2g__5DGc9j/;982066186279309155_34591650;;;;;;;;;;;;;;;;;;;;;;;;;
43510;https://www.instagram.com/p/8G7x8bzDbL/;1082815677318575819_28844876;;;;;;;;;;;;;;;;;;;;;;;;;
122779;https://www.instagram.com/p/724_dSSFN5/;1078299812178711417_337444627;;;;;;;;;;;;;;;;;;;;;;;;;
139565;https://www.instagram.com/p/x7oQgwMMl_/;899489607130859903_458173121;;;;;;;;;;;;;;;;;;;;;;;;;
24905;https://www.instagram.com/p/9zGRkXNHYr/;1113261128444835371_1431333356;;;;;;;;;;;;;;;;;;;;;;;;;
6822;https://www.instagram.com/p/-59RZ3Ct9f/;1133206258095677279_445000694;;;;;;;;;;;;;;;;;;;;;;;;;
34368;https://www.instagram.com/p/83scr4qxck/;1096540519601477412_242547756;;;;;;;;;;;;;;;;;;;;;;;;;
55592;https://www.instagram.com/p/7idywVEfdO/;1072550692483364686_319141148;;;;;;;;;;;;;;;;;;;;;;;;;
119761;https://www.instagram.com/p/9Fs63JB7O9/;1100483242945393597_321905491;;;;;;;;;;;;;;;;;;;;;;;;;
123545;https://www.instagram.com/p/7pxon1SW5g/;1074608281932623456_2036894698;;;;;;;;;;;;;;;;;;;;;;;;;
404;https://www.instagram.com/p/_ZdhN6t79Z/;1142073806550450009_2127718566;;;;;;;;;;;;;;;;;;;;;;;;;
75535;https://www.instagram.com/p/6jX6QlDVi1/;1054791896335734965_185590853;;;;;;;;;;;;;;;;;;;;;;;;;
39797;https://www.instagram.com/p/8YTYPqOOOy/;1087704538975626162_543963639;;;;;;;;;;;;;;;;;;;;;;;;;
9574;https://www.instagram.com/p/-rw5YDQwkn/;1129211180653676839_14919289;;;;;;;;;;;;;;;;;;;;;;;;;
20043;https://www.instagram.com/p/-MUXaNqjlv/;1120359976933144943_1388007701;;;;;;;;;;;;;;;;;;;;;;;;;
133919;https://www.instagram.com/p/8x_TF5H4Vu/;1094934573355074926_1339952016;;;;;;;;;;;;;;;;;;;;;;;;;
7892;https://www.instagram.com/p/-0iT2rD-DR/;1131680304332792017_2273246015;;;;;;;;;;;;;;;;;;;;;;;;;
40798;https://www.instagram.com/p/8TVO8MhPis/;1086305320810379436_20135317;;;;;;;;;;;;;;;;;;;;;;;;;
48911;https://www.instagram.com/p/7z7Xa7pEyt/;1077465830081711277_341342322;;;;;;;;;;;;;;;;;;;;;;;;;
122081;https://www.instagram.com/p/8D2TCUyL5r/;1081947138176892523_1602369654;;;;;;;;;;;;;;;;;;;;;;;;;
39;https://www.instagram.com/p/_bRaJophgR/;1142583494311286801_1655272437;;;;;;;;;;;;;;;;;;;;;;;;;
36415;https://www.instagram.com/p/8qhkK2xbxf/;1092833480683142239_176649462;;;;;;;;;;;;;;;;;;;;;;;;;
56325;https://www.instagram.com/p/7h3tZwoMAX/;1072383198884839447_1508977095;;;;;;;;;;;;;;;;;;;;;;;;;
42156;https://www.instagram.com/p/8NOsiRErPm/;1084587718367949798_249926195;;;;;;;;;;;;;;;;;;;;;;;;;
52441;https://www.instagram.com/p/7qCiNdIuyQ/;1074682608083987600_404462234;;;;;;;;;;;;;;;;;;;;;;;;;
79439;https://www.instagram.com/p/47hFwlLf4_/;1025558871452548671_2104117942;;;;;;;;;;;;;;;;;;;;;;;;;
14444;https://www.instagram.com/p/-ZUVp4P1VO/;1124019031011972430_39329052;;;;;;;;;;;;;;;;;;;;;;;;;
30453;https://www.instagram.com/p/9Qy7XClMJZ/;1103605890219819609_26711327;;;;;;;;;;;;;;;;;;;;;;;;;
105929;https://www.instagram.com/p/jNHQoFpieD/;634195051410761603_13017440;;;;;;;;;;;;;;;;;;;;;;;;;
40816;https://www.instagram.com/p/8TS9XFlNBL/;1086295316641402955_2166736331;;;;;;;;;;;;;;;;;;;;;;;;;
101439;https://www.instagram.com/p/pv_GhRKjsx/;752097187762682673_1388007701;;;;;;;;;;;;;;;;;;;;;;;;;
14276;https://www.instagram.com/p/-ZtFeyoMTe/;1124127870757684446_51322096;;;;;;;;;;;;;;;;;;;;;;;;;
3691;https://www.instagram.com/p/_JyCsTRHjT/;1137660468220164307_223544381;;;;;;;;;;;;;;;;;;;;;;;;;
26954;https://www.instagram.com/p/9mSdE7kk6f/;1109655521189842591_621931170;;;;;;;;;;;;;;;;;;;;;;;;;
27678;https://www.instagram.com/p/9hLzChxyai/;1108218869228971682_1489769552;;;;;;;;;;;;;;;;;;;;;;;;;
83867;https://www.instagram.com/p/3S3ibuPIL9/;996102726389367549_1739648871;;;;;;;;;;;;;;;;;;;;;;;;;
43128;https://www.instagram.com/p/8I8V5OKsD3/;1083381097723248887_637735;;;;;;;;;;;;;;;;;;;;;;;;;
29266;https://www.instagram.com/p/9YXBJmGu11/;1105734942611664245_1349651722;;;;;;;;;;;;;;;;;;;;;;;;;
136685;https://www.instagram.com/p/7S_9UlE4XP/;1068197352555382223_311596248;;;;;;;;;;;;;;;;;;;;;;;;;
112428;https://www.instagram.com/p/P1x6ymG6JC/;285353695743025730_223381767;;;;;;;;;;;;;;;;;;;;;;;;;
45729;https://www.instagram.com/p/7-LR1IQLdf/;1080350564405000031_8504140;;;;;;;;;;;;;;;;;;;;;;;;;
7387;https://www.instagram.com/p/-2uC7Oox0J/;1132294867505061129_30922246;;;;;;;;;;;;;;;;;;;;;;;;;
12342;https://www.instagram.com/p/-gMPGbjUUm/;1125953721097602342_207160848;;;;;;;;;;;;;;;;;;;;;;;;;
14846;https://www.instagram.com/p/-X60Kbi0J7/;1123625303362191995_5260719;;;;;;;;;;;;;;;;;;;;;;;;;
78925;https://www.instagram.com/p/5J4Of2FPY0/;1029601276701505076_177716340;;;;;;;;;;;;;;;;;;;;;;;;;
125947;https://www.instagram.com/p/7LlOxMAvHf/;1066109479411708383_227960187;;;;;;;;;;;;;;;;;;;;;;;;;
105834;https://www.instagram.com/p/jXREFoqZ31/;637052920015724021_144192662;;;;;;;;;;;;;;;;;;;;;;;;;
55099;https://www.instagram.com/p/7jJrTnBsPV/;1072743694656259029_2033955431;;;;;;;;;;;;;;;;;;;;;;;;;
135298;https://www.instagram.com/p/70nHufCSPy/;1077658265611478002_257595583;;;;;;;;;;;;;;;;;;;;;;;;;
7941;https://www.instagram.com/p/-0LqwEwdv6/;1131580722725903354_1540379213;;;;;;;;;;;;;;;;;;;;;;;;;
4892;https://www.instagram.com/p/_EM1svn4W4/;1136089472738231736_234272016;;;;;;;;;;;;;;;;;;;;;;;;;
132650;https://www.instagram.com/p/-ETYLLhXvE/;1118103831650335684_226155349;;;;;;;;;;;;;;;;;;;;;;;;;
59627;https://www.instagram.com/p/7akYv2Grin/;1070327891769342119_5996709;;;;;;;;;;;;;;;;;;;;;;;;;
9980;https://www.instagram.com/p/-pgSpiLYqY/;1128575200668781208_525477913;;;;;;;;;;;;;;;;;;;;;;;;;
26620;https://www.instagram.com/p/9oeh5qDSBJ/;1110271579193679945_1608425839;;;;;;;;;;;;;;;;;;;;;;;;;
44834;https://www.instagram.com/p/8BfuIUm_YN/;1081284895019103757_196771788;;;;;;;;;;;;;;;;;;;;;;;;;
39106;https://www.instagram.com/p/8bG2VuStMP/;1088493857396151055_51969787;;;;;;;;;;;;;;;;;;;;;;;;;
58179;https://www.instagram.com/p/7dh_6Pq9tY/;1071161813785893720_1600522805;;;;;;;;;;;;;;;;;;;;;;;;;
72729;https://www.instagram.com/p/7BJUqIBFGj/;1063171989075939747_867640275;;;;;;;;;;;;;;;;;;;;;;;;;
89281;https://www.instagram.com/p/0V4gZXxO7e/;942908213874192094_11364410;;;;;;;;;;;;;;;;;;;;;;;;;
90894;https://www.instagram.com/p/zaz3wuCOiB/;926280805633288321_222855569;;;;;;;;;;;;;;;;;;;;;;;;;
122423;https://www.instagram.com/p/7-My5coS5s/;1080357234831076972_40062122;;;;;;;;;;;;;;;;;;;;;;;;;
120464;https://www.instagram.com/p/8nMg1aCVXA/;1091896467587159488_183315596;;;;;;;;;;;;;;;;;;;;;;;;;
3785;https://www.instagram.com/p/_JQClcIPcV/;1137510927271261973_609547108;;;;;;;;;;;;;;;;;;;;;;;;;
40183;https://www.instagram.com/p/8WTQaurWdD/;1087141051152295747_19172904;;;;;;;;;;;;;;;;;;;;;;;;;
60944;https://www.instagram.com/p/7X1QczgIwZ/;1069557663429331993_434525034;;;;;;;;;;;;;;;;;;;;;;;;;
119888;https://www.instagram.com/p/9BYqoAnv4Z/;1099268266349493785_28801982;;;;;;;;;;;;;;;;;;;;;;;;;
44183;https://www.instagram.com/p/8EEb0HMV8_/;1082009314042928959_41703158;;;;;;;;;;;;;;;;;;;;;;;;;
110959;https://www.instagram.com/p/YspGd9i-D4/;444911227597742328_95759;;;;;;;;;;;;;;;;;;;;;;;;;
53654;https://www.instagram.com/p/7nGcrTyOBA/;1073855395078398016_232679663;;;;;;;;;;;;;;;;;;;;;;;;;
15496;https://www.instagram.com/p/-V2t0BMO_i/;1123044324841418722_30073130;;;;;;;;;;;;;;;;;;;;;;;;;
36718;https://www.instagram.com/p/8oLbDlCZHp/;1092173147417448937_819490611;;;;;;;;;;;;;;;;;;;;;;;;;
3105;https://www.instagram.com/p/_LpUD_F_d9/;1138185029417432957_1616611532;;;;;;;;;;;;;;;;;;;;;;;;;
2478;https://www.instagram.com/p/_OjSicNki3/;1139002961330325687_204928473;;;;;;;;;;;;;;;;;;;;;;;;;
14121;https://www.instagram.com/p/-aKvuQq61H/;1124258316934688071_1478602794;;;;;;;;;;;;;;;;;;;;;;;;;
117675;https://www.instagram.com/p/-KtCgvlX-t/;1119905542045007789_178621374;;;;;;;;;;;;;;;;;;;;;;;;;
71308;https://www.instagram.com/p/7IyBkQHAKh/;1065321321843131041_248746791;;;;;;;;;;;;;;;;;;;;;;;;;
73166;https://www.instagram.com/p/6-NzRvsSI3/;1062347260457722423_1617613143;;;;;;;;;;;;;;;;;;;;;;;;;
108834;https://www.instagram.com/p/dF8WXtzMty/;524090351742143346_258099913;;;;;;;;;;;;;;;;;;;;;;;;;
122953;https://www.instagram.com/p/70HJz4ydK5/;1077517671362843321_473679723;;;;;;;;;;;;;;;;;;;;;;;;;
29066;https://www.instagram.com/p/9ZQXNUCUfB/;1105987147083106241_2018350592;;;;;;;;;;;;;;;;;;;;;;;;;
20051;https://www.instagram.com/p/-MT9VMphV_/;1120358184840992127_579382436;;;;;;;;;;;;;;;;;;;;;;;;;
61329;https://www.instagram.com/p/7XBuw_kXo-/;1069331048272329278_196126117;;;;;;;;;;;;;;;;;;;;;;;;;
57993;https://www.instagram.com/p/7dyHOuCsNh/;1071232685550781281_50880687;;;;;;;;;;;;;;;;;;;;;;;;;
63567;https://www.instagram.com/p/7SnIGRhFAL/;1068088141946310667_235620275;;;;;;;;;;;;;;;;;;;;;;;;;
26100;https://www.instagram.com/p/9rdLAmqX2q/;1111110032988667306_29357654;;;;;;;;;;;;;;;;;;;;;;;;;
40220;https://www.instagram.com/p/8WI6FiLcnS/;1087095536100428242_344852929;;;;;;;;;;;;;;;;;;;;;;;;;
120430;https://www.instagram.com/p/8n9JtTuZbV/;1092110382622414549_230943684;;;;;;;;;;;;;;;;;;;;;;;;;
55981;https://www.instagram.com/p/7iKI9mjGTW/;1072464257633510614_1005792;;;;;;;;;;;;;;;;;;;;;;;;;
57931;https://www.instagram.com/p/7d5eULuA52/;1071265058290929270_553586;;;;;;;;;;;;;;;;;;;;;;;;;
6650;https://www.instagram.com/p/-6qmt4v94G/;1133405634801163782_195724086;;;;;;;;;;;;;;;;;;;;;;;;;
34944;https://www.instagram.com/p/80Wpx1v2bX/;1095600237394749143_1991014056;;;;;;;;;;;;;;;;;;;;;;;;;
70398;https://www.instagram.com/p/7KaeslIu3U/;1065780720487820756_404462234;;;;;;;;;;;;;;;;;;;;;;;;;
109441;https://www.instagram.com/p/cMApA-hHS5/;507783676533437625_399710284;;;;;;;;;;;;;;;;;;;;;;;;;
122993;https://www.instagram.com/p/7zlG3egsGn/;1077367935477137831_1564940175;;;;;;;;;;;;;;;;;;;;;;;;;
86912;https://www.instagram.com/p/1xxmAYPYDF/;968773510887211205_6208935;;;;;;;;;;;;;;;;;;;;;;;;;
27390;https://www.instagram.com/p/9jeCNAhNPF/;1108862026064909253_1362760307;;;;;;;;;;;;;;;;;;;;;;;;;
22586;https://www.instagram.com/p/-CnhuAJYkw/;1117629498492553520_262332401;;;;;;;;;;;;;;;;;;;;;;;;;
33616;https://www.instagram.com/p/88nMblMpQt/;1097924787234313261_1724283236;;;;;;;;;;;;;;;;;;;;;;;;;
37704;https://www.instagram.com/p/8ief84jbCS/;1090568196849512594_324470875;;;;;;;;;;;;;;;;;;;;;;;;;
82168;https://www.instagram.com/p/4EYLHekDs2/;1010038533497305910_16711037;;;;;;;;;;;;;;;;;;;;;;;;;
117802;https://www.instagram.com/p/-IscBNypE9/;1119339946898526525_35254771;;;;;;;;;;;;;;;;;;;;;;;;;
115440;https://www.instagram.com/p/_Z3j9fvQoC/;1142188344285661698_1709213905;;;;;;;;;;;;;;;;;;;;;;;;;
36294;https://www.instagram.com/p/8rXE83gz0M/;1093068829870996748_1965645206;;;;;;;;;;;;;;;;;;;;;;;;;
116773;https://www.instagram.com/p/-jsjH_vF0c/;1126940259586432284_1478013862;;;;;;;;;;;;;;;;;;;;;;;;;
61823;https://www.instagram.com/p/7VsUy4yoJF/;1068955429646271045_9769767;;;;;;;;;;;;;;;;;;;;;;;;;
90733;https://www.instagram.com/p/zhT5cqKzOP/;928110508881163151_295247763;;;;;;;;;;;;;;;;;;;;;;;;;
31543;https://www.instagram.com/p/9Jm0jGOMS9/;1101582320734356669_2246488632;;;;;;;;;;;;;;;;;;;;;;;;;
92573;https://www.instagram.com/p/yYhX-1FDbe/;907622108460496606_190311292;;;;;;;;;;;;;;;;;;;;;;;;;
25708;https://www.instagram.com/p/9t_MiOiWmI/;1111822621345409416_2160485601;;;;;;;;;;;;;;;;;;;;;;;;;
55445;https://www.instagram.com/p/7inl0Anbyd/;1072593783547083933_20741902;;;;;;;;;;;;;;;;;;;;;;;;;
35863;https://www.instagram.com/p/8udnuiJuET/;1093942032871121171_254447487;;;;;;;;;;;;;;;;;;;;;;;;;
75483;https://www.instagram.com/p/6kMJAljQHn/;1055021608374960615_205760831;;;;;;;;;;;;;;;;;;;;;;;;;
119811;https://www.instagram.com/p/9Dw2glGJx1/;1099937586074918005_1469161574;;;;;;;;;;;;;;;;;;;;;;;;;
51414;https://www.instagram.com/p/7s2fGZm_ZR/;1075474042722186833_196771788;;;;;;;;;;;;;;;;;;;;;;;;;
129409;https://www.instagram.com/p/-itjI9pwPy/;1126663183695021042_1554907495;;;;;;;;;;;;;;;;;;;;;;;;;
63021;https://www.instagram.com/p/7TQLw_RYmh/;1068268713876490657_1495409449;;;;;;;;;;;;;;;;;;;;;;;;;
41548;https://www.instagram.com/p/8P4PtwmFc9/;1085333405750023997_194511556;;;;;;;;;;;;;;;;;;;;;;;;;
114659;https://www.instagram.com/p/-4I0qmOrr6/;1132694109807098618_1507068757;;;;;;;;;;;;;;;;;;;;;;;;;
53108;https://www.instagram.com/p/7oGOGyHOLS/;1074135868762809042_2091071847;;;;;;;;;;;;;;;;;;;;;;;;;
75672;https://www.instagram.com/p/6gB472RgZS/;1053850623403230802_18839480;;;;;;;;;;;;;;;;;;;;;;;;;
85250;https://www.instagram.com/p/2ohbO4hQ-S/;984183525521821586_1462485322;;;;;;;;;;;;;;;;;;;;;;;;;
401;https://www.instagram.com/p/_ZeRUMtXal/;1142077111829624485_193098420;;;;;;;;;;;;;;;;;;;;;;;;;
122939;https://www.instagram.com/p/70Q8fhmasC/;1077560736610888450_266851641;;;;;;;;;;;;;;;;;;;;;;;;;
74289;https://www.instagram.com/p/60SkvIBFGI/;1059553501677638024_235620275;;;;;;;;;;;;;;;;;;;;;;;;;
123292;https://www.instagram.com/p/7vMc7SmsKm/;1076133600331219622_1578026711;;;;;;;;;;;;;;;;;;;;;;;;;
122723;https://www.instagram.com/p/73ts60kvhN/;1078531634687572045_3236213;;;;;;;;;;;;;;;;;;;;;;;;;
11504;https://www.instagram.com/p/-jJKEukVDG/;1126784606462365894_641366107;;;;;;;;;;;;;;;;;;;;;;;;;
30338;https://www.instagram.com/p/9RLiwPRMuP/;1103714150452087695_225449401;;;;;;;;;;;;;;;;;;;;;;;;;
135171;https://www.instagram.com/p/73KJKOt2dr/;1078375245703243627_315478544;;;;;;;;;;;;;;;;;;;;;;;;;
56176;https://www.instagram.com/p/7iA5W3JSBN/;1072423602825273421_1451852375;;;;;;;;;;;;;;;;;;;;;;;;;
40291;https://www.instagram.com/p/8V4z6fB3Ju/;1087024743175385710_36325475;;;;;;;;;;;;;;;;;;;;;;;;;
61774;https://www.instagram.com/p/7VxIUbkpMT/;1068976562542646035_1441331187;;;;;;;;;;;;;;;;;;;;;;;;;
86185;https://www.instagram.com/p/2GdG8BOgHz/;974594389483061747_1730503711;;;;;;;;;;;;;;;;;;;;;;;;;
124056;https://www.instagram.com/p/7gz7lopGNO/;1072085106545681230_2083087327;;;;;;;;;;;;;;;;;;;;;;;;;
98030;https://www.instagram.com/p/tsoZ8mGJ4f/;823210536812977695_303946574;;;;;;;;;;;;;;;;;;;;;;;;;
533;https://www.instagram.com/p/_Y5KwnjVsM/;1141913933587503884_185590853;;;;;;;;;;;;;;;;;;;;;;;;;
60524;https://www.instagram.com/p/7YgSCRkNco/;1069746888381617960_12446076;;;;;;;;;;;;;;;;;;;;;;;;;
118581;https://www.instagram.com/p/9twqURwhY4/;1111758697253705272_1662149228;;;;;;;;;;;;;;;;;;;;;;;;;
92302;https://www.instagram.com/p/ykv-mwlmjq/;911064035046615274_1632931433;;;;;;;;;;;;;;;;;;;;;;;;;
33264;https://www.instagram.com/p/8_AUrZJhaH/;1098598255084050055_14697436;;;;;;;;;;;;;;;;;;;;;;;;;
95922;https://www.instagram.com/p/vqokWGt_C0/;858677098464145588_513428579;;;;;;;;;;;;;;;;;;;;;;;;;
54669;https://www.instagram.com/p/7kn8n0DXNL/;1073158300952785739_415570859;;;;;;;;;;;;;;;;;;;;;;;;;
30614;https://www.instagram.com/p/9P9mlfglu6/;1103371366163438522_486670149;;;;;;;;;;;;;;;;;;;;;;;;;
5866;https://www.instagram.com/p/-_YGr0LrnX/;1134731643600157143_2299882989;;;;;;;;;;;;;;;;;;;;;;;;;
86943;https://www.instagram.com/p/1w-c1OjVjm/;968548580066154726_185590853;;;;;;;;;;;;;;;;;;;;;;;;;
89080;https://www.instagram.com/p/0fYkczuPdH/;945582504721053511_415398644;;;;;;;;;;;;;;;;;;;;;;;;;
79241;https://www.instagram.com/p/5ADNtMPlSH/;1026834851056997511_408218988;;;;;;;;;;;;;;;;;;;;;;;;;
44370;https://www.instagram.com/p/8DiM8Cjp2s/;1081858758181559724_1462025934;;;;;;;;;;;;;;;;;;;;;;;;;
122243;https://www.instagram.com/p/8BGwPGxDM8/;1081175088579228476_25959363;;;;;;;;;;;;;;;;;;;;;;;;;
48356;https://www.instagram.com/p/71GV5hS7On/;1077795578975073191_1493444843;;;;;;;;;;;;;;;;;;;;;;;;;
30832;https://www.instagram.com/p/9OSf8HCG_g/;1102900318435831776_1586985538;;;;;;;;;;;;;;;;;;;;;;;;;
136620;https://www.instagram.com/p/7TyJwAPZJe/;1068418108961428062_178463939;;;;;;;;;;;;;;;;;;;;;;;;;
2342;https://www.instagram.com/p/_PNU0tkNjm/;1139187836341246182_459876077;;;;;;;;;;;;;;;;;;;;;;;;;
37237;https://www.instagram.com/p/8lNxPxKXvZ/;1091339043497147353_47937653;;;;;;;;;;;;;;;;;;;;;;;;;
134907;https://www.instagram.com/p/8Au5YqtAaj/;1081070164204848803_1932253328;;;;;;;;;;;;;;;;;;;;;;;;;
83894;https://www.instagram.com/p/3RqSX6F7IY/;995762973200331288_258461515;;;;;;;;;;;;;;;;;;;;;;;;;
72566;https://www.instagram.com/p/7Ctn9Cm0do/;1063613119707432808_1086981744;;;;;;;;;;;;;;;;;;;;;;;;;
28001;https://www.instagram.com/p/9e5En7OqUD/;1107573564778390787_14938752;;;;;;;;;;;;;;;;;;;;;;;;;
14566;https://www.instagram.com/p/-ZEr9WrS3y/;1123950195007892978_205657890;;;;;;;;;;;;;;;;;;;;;;;;;
74053;https://www.instagram.com/p/62-kXQMVOX/;1060309940044911511_884663155;;;;;;;;;;;;;;;;;;;;;;;;;
28589;https://www.instagram.com/p/9bvD7-IOxA/;1106685112187153472_3977106;;;;;;;;;;;;;;;;;;;;;;;;;
127204;https://www.instagram.com/p/_Qw3LSCYa2/;1139625603642263222_16405608;;;;;;;;;;;;;;;;;;;;;;;;;
43891;https://www.instagram.com/p/8F0h7zBhGo/;1082502315820585384_294525387;;;;;;;;;;;;;;;;;;;;;;;;;
117966;https://www.instagram.com/p/-DTfOZorzt/;1117822841167985901_323787222;;;;;;;;;;;;;;;;;;;;;;;;;
74543;https://www.instagram.com/p/6xg3gaShzN/;1058771939269156045_304904742;;;;;;;;;;;;;;;;;;;;;;;;;
19585;https://www.instagram.com/p/-NB77bkKBn/;1120560398593990759_549476063;;;;;;;;;;;;;;;;;;;;;;;;;
32840;https://www.instagram.com/p/9BumHEwqGr/;1099364713130795435_2237874263;;;;;;;;;;;;;;;;;;;;;;;;;
79426;https://www.instagram.com/p/47pwo7P82d/;1025597002542468509_2135729082;;;;;;;;;;;;;;;;;;;;;;;;;
138914;https://www.instagram.com/p/3zDF_Bux39/;1005160747245444605_692353782;;;;;;;;;;;;;;;;;;;;;;;;;
40133;https://www.instagram.com/p/8Wf6EXhdRE/;1087196689917662276_2295372;;;;;;;;;;;;;;;;;;;;;;;;;
42448;https://www.instagram.com/p/8Luh1mByHW/;1084164770741297622_2215075455;;;;;;;;;;;;;;;;;;;;;;;;;
46157;https://www.instagram.com/p/78VQUzpmxj/;1079831491491818595_12577458;;;;;;;;;;;;;;;;;;;;;;;;;
39963;https://www.instagram.com/p/8XyRBIiCpW/;1087558906806807126_2024085521;;;;;;;;;;;;;;;;;;;;;;;;;
119268;https://www.instagram.com/p/9V_uHNScvY/;1105069529354587096_1193684721;;;;;;;;;;;;;;;;;;;;;;;;;
32954;https://www.instagram.com/p/9BTq_ky05S/;1099246301419884114_370469818;;;;;;;;;;;;;;;;;;;;;;;;;
55446;https://www.instagram.com/p/7injBBmYsl/;1072593591363799845_185301633;;;;;;;;;;;;;;;;;;;;;;;;;
26584;https://www.instagram.com/p/9onj7AN5T5/;1110311300496856313_421588556;;;;;;;;;;;;;;;;;;;;;;;;;
75761;https://www.instagram.com/p/6efPJjqagL/;1053416743347267595_587367665;;;;;;;;;;;;;;;;;;;;;;;;;
105133;https://www.instagram.com/p/kq4JJNvx7j/;660587214337416931_276029038;;;;;;;;;;;;;;;;;;;;;;;;;
39696;https://www.instagram.com/p/8YlEBugETl/;1087782314462692581_3930016;;;;;;;;;;;;;;;;;;;;;;;;;
46911;https://www.instagram.com/p/75v7cTwEoL/;1079104378763233803_2854113;;;;;;;;;;;;;;;;;;;;;;;;;
30477;https://www.instagram.com/p/9QrKAalMID/;1103571712346472963_26711327;;;;;;;;;;;;;;;;;;;;;;;;;
31722;https://www.instagram.com/p/9IyBWGCPLt/;1101350103660688109_1933685571;;;;;;;;;;;;;;;;;;;;;;;;;
82604;https://www.instagram.com/p/3637MgqHLb/;1007363427110777563_1152242587;;;;;;;;;;;;;;;;;;;;;;;;;
49560;https://www.instagram.com/p/7xz8MIna4Y/;1076870222488383000_2116636898;;;;;;;;;;;;;;;;;;;;;;;;;
31857;https://www.instagram.com/p/9HnL_1iUdg/;1101020982187476832_2018350592;;;;;;;;;;;;;;;;;;;;;;;;;
39550;https://www.instagram.com/p/8Y-on4seN7/;1087894780499846011_326283191;;;;;;;;;;;;;;;;;;;;;;;;;
134199;https://www.instagram.com/p/8ioo5tBcRo/;1090612792375231592_268755368;;;;;;;;;;;;;;;;;;;;;;;;;
80547;https://www.instagram.com/p/4chLYCiLep/;1016833533140318121_42605556;;;;;;;;;;;;;;;;;;;;;;;;;
6581;https://www.instagram.com/p/-64qOaFMMh/;1133467448529699617_26711327;;;;;;;;;;;;;;;;;;;;;;;;;
136139;https://www.instagram.com/p/7dFmQzBmue/;1071036905992645534_191545409;;;;;;;;;;;;;;;;;;;;;;;;;
86211;https://www.instagram.com/p/2F8qhwDPcL/;974451699643905803_301450828;;;;;;;;;;;;;;;;;;;;;;;;;
111541;https://www.instagram.com/p/V3BORMils9/;393788871001398077_1850661;;;;;;;;;;;;;;;;;;;;;;;;;
50389;https://www.instagram.com/p/7vdfS_OVFa/;1076208530005512538_604588667;;;;;;;;;;;;;;;;;;;;;;;;;
54045;https://www.instagram.com/p/7lmq9Oh2ds/;1073434163925182316_2189740472;;;;;;;;;;;;;;;;;;;;;;;;;
2152;https://www.instagram.com/p/_QAtpWg_uA/;1139413842502351744_192310253;;;;;;;;;;;;;;;;;;;;;;;;;
47541;https://www.instagram.com/p/73bcQismUy/;1078451324941657394_1925878224;;;;;;;;;;;;;;;;;;;;;;;;;
82423;https://www.instagram.com/p/3_DMGfoS3j/;1008538867300642275_40062122;;;;;;;;;;;;;;;;;;;;;;;;;
50516;https://www.instagram.com/p/7vPIvChh55/;1076145406926528121_21445390;;;;;;;;;;;;;;;;;;;;;;;;;
44545;https://www.instagram.com/p/8C8mN-hKYM/;1081693369660646924_1766680296;;;;;;;;;;;;;;;;;;;;;;;;;
83219;https://www.instagram.com/p/3mECJlslmX/;1001505707057633687_370238221;;;;;;;;;;;;;;;;;;;;;;;;;
22976;https://www.instagram.com/p/9_8UDrKq1w/;1116876493736815984_30332730;;;;;;;;;;;;;;;;;;;;;;;;;
92138;https://www.instagram.com/p/yqGuwdiqA6/;912571475906175034_13340679;;;;;;;;;;;;;;;;;;;;;;;;;
96069;https://www.instagram.com/p/vjyaj2QK70/;856750081653649140_1027029138;;;;;;;;;;;;;;;;;;;;;;;;;
72294;https://www.instagram.com/p/7D12V2DUVV/;1063930767761818965_462130848;;;;;;;;;;;;;;;;;;;;;;;;;
33333;https://www.instagram.com/p/8-uXMPvCAV/;1098519262961344533_196828847;;;;;;;;;;;;;;;;;;;;;;;;;
134535;https://www.instagram.com/p/8P0667JmHE/;1085318782637203908_2180692455;;;;;;;;;;;;;;;;;;;;;;;;;
10500;https://www.instagram.com/p/-m_RgdEHyR/;1127867036711550097_1736776054;;;;;;;;;;;;;;;;;;;;;;;;;
40535;https://www.instagram.com/p/8Uy5gjq19W/;1086717264397033302_1461222774;;;;;;;;;;;;;;;;;;;;;;;;;
130182;https://www.instagram.com/p/-XPKAtN5I7/;1123433290703278651_187978555;;;;;;;;;;;;;;;;;;;;;;;;;
87229;https://www.instagram.com/p/1qRm-noqpv/;966662515392162415_359217217;;;;;;;;;;;;;;;;;;;;;;;;;
29295;https://www.instagram.com/p/9YNfNdA92P/;1105693027873316239_1967325246;;;;;;;;;;;;;;;;;;;;;;;;;
50049;https://www.instagram.com/p/7wqRBbzZqf/;1076546198666320543_2103734965;;;;;;;;;;;;;;;;;;;;;;;;;
5020;https://www.instagram.com/p/_Dbo2gl_QA/;1135873085591254016_1616611532;;;;;;;;;;;;;;;;;;;;;;;;;
41856;https://www.instagram.com/p/8OVpyDyf2Z/;1084899790468808089_812554734;;;;;;;;;;;;;;;;;;;;;;;;;
35250;https://www.instagram.com/p/8yN46LyR6T/;1094998744774549139_644499678;;;;;;;;;;;;;;;;;;;;;;;;;
